"가계수지항목별",2019,2019,2019,2020,2020,2020
"가계수지항목별",전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구
"가구원수 (명)",2.41,2.56,2.19,2.40,2.51,2.24
"가구주연령 (세)",52.27,47.50,59.22,52.59,47.53,59.58
"가구분포 (%)",100.00,59.32,40.68,100.00,57.97,42.03
"가계지출",3329804,3809653,2630189,3239681,3687877,2621498
"소비지출",2456678,2740086,2043472,2400123,2646063,2060904
"01.식료품 · 비주류음료",332558,340186,321435,381056,390406,368161
"02.주류 · 담배",35802,38355,32079,37531,41046,32682
"03.의류 · 신발",138180,160716,105323,118085,138643,89729
"04.주거 · 수도 · 광열",276589,284863,264525,285822,296434,271185
"05.가정용품 · 가사서비스",115323,127725,97240,126729,138891,109955
"06.보건",202279,200565,204777,220558,218394,223542
"07.교통",295974,352682,213294,288848,327367,235719
"08.통신",123006,133798,107272,119775,130829,104528
"09.오락 · 문화",180301,207547,140577,139539,161884,108720
"10.교육",204775,254329,132527,159087,201453,100651
"11.음식 · 숙박",345710,410522,251216,319220,379890,235540
"12.기타상품 · 서비스",206182,228797,173209,203873,220826,180490
"비소비지출",873126,1069567,586718,839559,1041813,560594
