구분,설립,학교명,주소,데이터기준일
유치원,공립,자유유치원,인천광역시 중구 기상대길 80,2020-09-15
유치원,공립,송월초등학교병설유치원,인천광역시 중구 자유공원로 106-8,2020-09-15
유치원,공립,신선초등학교병설유치원,인천광역시 중구 축항대로 291번길 33,2020-09-15
유치원,공립,용유초등학교병설유치원,인천광역시 중구 남북로 87번길 4,2020-09-15
유치원,공립,영종초등학교병설유치원,인천광역시 중구 중산동 707-1,2020-09-15
유치원,공립,하늘초등학교병설유치원,인천광역시 중구 중산동 산104-1,2020-09-15
유치원,사립,박문유치원,인천광역시 중구 우현로 50번길 2,2020-09-15
유치원,사립,성산유치원,인천광역시 중구 답동로 24번길 7,2020-09-15
유치원,사립,초롱유치원,인천광역시 중구 영종대로 27번길 6,2020-09-15
유치원,사립,해님나라유치원,인천광역시 중구 은골로 42,2020-09-15
유치원,사립,지영유치원,인천광역시 중구 도원로 8번길 28,2020-09-15
유치원,사립,은별유치원,인천광역시 중구 참외전로 52-6,2020-09-15
유치원,사립,무지개유치원,인천광역시 중구 눈돌로 35,2020-09-15
유치원,단설,공항유치원,인천광역시 중구 신도시남로 43,2020-09-15
유치원,단설,영종유치원,인천광역시 중구 백운로 57-25,2020-09-15
유치원,사립,뒤나미스 유치원,인천광역시 중구 오작로 116,2020-09-15
유치원,사립,이튼 유치원,인천광역시 중구 남디로안길 34-7,2020-09-15
초등학교,공립,인천공항초등학교,인천광역시 중구 신도시남로 43,2020-09-15
초등학교,공립,인천삼목초등학교,인천광역시 중구 신도시북로 42,2020-09-15
초등학교,공립,인천송월초등학교,인천광역시 중구 자유공원로 106-8,2020-09-15
초등학교,공립,인천신광초등학교,인천광역시 중구 인중로 63,2020-09-15
초등학교,공립,인천신선초등학교,인천광역시 중구 축항대로 291번길 33,2020-09-15
초등학교,공립,인천신흥초등학교,인천광역시 중구 제물량로 134,2020-09-15
초등학교,공립,인천연안초등학교,인천광역시 중구 연안부두로 33번길 53,2020-09-15
초등학교,공립,인천영종초등학교,인천광역시 중구 중산동 707-1,2020-09-15
초등학교,공립,인천용유초등학교,인천광역시 중구 남북로 87번길 4,2020-09-15
초등학교,공립,인천운서초등학교,인천광역시 중구 운서2로 57,2020-09-15
초등학교,공립,인천운남초등학교,인천광역시 중구 운남동 747,2020-09-15
초등학교,공립,인천하늘초등학교,인천광역시 중구 중산동 산104-1,2020-09-15
초등학교,사립,인성초등학교,인천광역시 중구 신포로 39번길 42,2020-09-15
중학교,공립,신흥여자중학교,인천광역시 중구 인항로 24번길 37,2020-09-15
중학교,공립,신흥중학교,인천광역시 중구 인항로 24번길 38,2020-09-15
중학교,공립,영종중학교,인천광역시 중구 영종대로 27번길 49,2020-09-15
중학교,공립,용유중학교,인천광역시 중구 남북로 87번길 4,2020-09-15
중학교,공립,인천공항중학교,인천광역시 중구 영종대로 27번길 49,2020-09-15
중학교,사립,광성중학교,인천광역시 중구 참외전로 244번길 47,2020-09-15
중학교,사립,송도중학교,인천광역시 중구 제물량로 123,2020-09-15
중학교,사립,인성여자중학교,인천광역시 중구 홍예문로 39,2020-09-15
고등학교,국립,인천해사고등학교,인천광역시 중구 월미로 338,2020-09-15
고등학교,공립,영종국제물류고등학교,인천광역시 중구 운남로 129,2020-09-15
고등학교,공립,인일여자고등학교,인천광역시 중구 참외전로 72번길 10,2020-09-15
고등학교,공립,인천공항고등학교,인천광역시 중구 신도시북로 20,2020-09-15
고등학교,공립,인천과학고등학교,인천광역시 중구 영종대로 277번길 74-37,2020-09-15
고등학교,공립,인천여자상업고등학교,인천광역시 중구 인중로 146,2020-09-15
고등학교,공립,인천영종고등학교,인천광역시 중구 운서동 890,2020-09-15
고등학교,공립,인천정보산업고등학교,인천광역시 중구 참외전로 192,2020-09-15
고등학교,공립,제물포고등학교,인천광역시 중구 자유공원로 58-9,2020-09-15
고등학교,공립,인천국제고등학교,인천광역시 중구 영종대로 277번길 74-40,2020-09-15
고등학교,사립,광성고등학교,인천광역시 중구 참외전로 244번길 47,2020-09-15
고등학교,사립,인성여자고등학교,인천광역시 중구 홍예문로 39,2020-09-15
고등학교,사립,인천중앙여자상업고등학교,인천광역시 중구 샛골로 31,2020-09-15
고등학교,사립,인천하늘고등학교,인천광역시 중구 영종대로277번길 117(운서동),2020-09-15
기타,사립,"인천화교학교소학교, 중산중,고등학교",인천광역시 중구 차이나타운로 55번길 19,2020-09-15
